Adult Stages/Adult Hypnogram (973 events)						
						
-------------------------------------------------------------------------------------						
#	Segment	Epoch	Start Time (s)	Duration (s)	Interval (s)	Event
"350, "	"1, "	"350, "	"10485.000,"	"1.000,"	"30.000,"	3
"351, "	"1, "	"351, "	"10515.000,"	"1.000,"	"30.000,"	3
"352, "	"1, "	"352, "	"10545.000,"	"1.000,"	"30.000,"	3
"353, "	"1, "	"353, "	"10575.000,"	"1.000,"	"30.000,"	3
"354, "	"1, "	"354, "	"10605.000,"	"1.000,"	"30.000,"	3
"355, "	"1, "	"355, "	"10635.000,"	"1.000,"	"30.000,"	3
"356, "	"1, "	"356, "	"10665.000,"	"1.000,"	"30.000,"	3
"357, "	"1, "	"357, "	"10695.000,"	"1.000,"	"30.000,"	3
"358, "	"1, "	"358, "	"10725.000,"	"1.000,"	"30.000,"	3
"359, "	"1, "	"359, "	"10755.000,"	"1.000,"	"30.000,"	3
"360, "	"1, "	"360, "	"10785.000,"	"1.000,"	"30.000,"	3
"361, "	"1, "	"361, "	"10815.000,"	"1.000,"	"30.000,"	3
"362, "	"1, "	"362, "	"10845.000,"	"1.000,"	"30.000,"	3
"363, "	"1, "	"363, "	"10875.000,"	"1.000,"	"30.000,"	3
"364, "	"1, "	"364, "	"10905.000,"	"1.000,"	"30.000,"	3
"365, "	"1, "	"365, "	"10935.000,"	"1.000,"	"30.000,"	3
"366, "	"1, "	"366, "	"10965.000,"	"1.000,"	"30.000,"	3
"367, "	"1, "	"367, "	"10995.000,"	"1.000,"	"30.000,"	3
"368, "	"1, "	"368, "	"11025.000,"	"1.000,"	"30.000,"	3
"369, "	"1, "	"369, "	"11055.000,"	"1.000,"	"30.000,"	3
"370, "	"1, "	"370, "	"11085.000,"	"1.000,"	"30.000,"	3
"371, "	"1, "	"371, "	"11115.000,"	"1.000,"	"30.000,"	3
"372, "	"1, "	"372, "	"11145.000,"	"1.000,"	"30.000,"	3
"373, "	"1, "	"373, "	"11175.000,"	"1.000,"	"30.000,"	3
"374, "	"1, "	"374, "	"11205.000,"	"1.000,"	"30.000,"	3
"375, "	"1, "	"375, "	"11235.000,"	"1.000,"	"30.000,"	3
"376, "	"1, "	"376, "	"11265.000,"	"1.000,"	"30.000,"	3
"377, "	"1, "	"377, "	"11295.000,"	"1.000,"	"30.000,"	3
"378, "	"1, "	"378, "	"11325.000,"	"1.000,"	"30.000,"	3
"379, "	"1, "	"379, "	"11355.000,"	"1.000,"	"30.000,"	3
"380, "	"1, "	"380, "	"11385.000,"	"1.000,"	"30.000,"	3
"381, "	"1, "	"381, "	"11415.000,"	"1.000,"	"30.000,"	3
"382, "	"1, "	"382, "	"11445.000,"	"1.000,"	"30.000,"	3
"383, "	"1, "	"383, "	"11475.000,"	"1.000,"	"30.000,"	2
"384, "	"1, "	"384, "	"11505.000,"	"1.000,"	"30.000,"	2
"385, "	"1, "	"385, "	"11535.000,"	"1.000,"	"30.000,"	2
"386, "	"1, "	"386, "	"11565.000,"	"1.000,"	"30.000,"	2
"387, "	"1, "	"387, "	"11595.000,"	"1.000,"	"30.000,"	2
"388, "	"1, "	"388, "	"11625.000,"	"1.000,"	"30.000,"	2
"389, "	"1, "	"389, "	"11655.000,"	"1.000,"	"30.000,"	5
"390, "	"1, "	"390, "	"11685.000,"	"1.000,"	"30.000,"	5
"391, "	"1, "	"391, "	"11715.000,"	"1.000,"	"30.000,"	5
"392, "	"1, "	"392, "	"11745.000,"	"1.000,"	"30.000,"	5
"393, "	"1, "	"393, "	"11775.000,"	"1.000,"	"30.000,"	5
"394, "	"1, "	"394, "	"11805.000,"	"1.000,"	"30.000,"	5
"395, "	"1, "	"395, "	"11835.000,"	"1.000,"	"30.000,"	5
"396, "	"1, "	"396, "	"11865.000,"	"1.000,"	"30.000,"	5
"397, "	"1, "	"397, "	"11895.000,"	"1.000,"	"30.000,"	5
"398, "	"1, "	"398, "	"11925.000,"	"1.000,"	"30.000,"	5
"399, "	"1, "	"399, "	"11955.000,"	"1.000,"	"30.000,"	5
"400, "	"1, "	"400, "	"11985.000,"	"1.000,"	"30.000,"	5
"401, "	"1, "	"401, "	"12015.000,"	"1.000,"	"30.000,"	5
"402, "	"1, "	"402, "	"12045.000,"	"1.000,"	"30.000,"	5
"403, "	"1, "	"403, "	"12075.000,"	"1.000,"	"30.000,"	5
"404, "	"1, "	"404, "	"12105.000,"	"1.000,"	"30.000,"	5
"405, "	"1, "	"405, "	"12135.000,"	"1.000,"	"30.000,"	5
"406, "	"1, "	"406, "	"12165.000,"	"1.000,"	"30.000,"	5
"407, "	"1, "	"407, "	"12195.000,"	"1.000,"	"30.000,"	5
"408, "	"1, "	"408, "	"12225.000,"	"1.000,"	"30.000,"	5
"409, "	"1, "	"409, "	"12255.000,"	"1.000,"	"30.000,"	5
"410, "	"1, "	"410, "	"12285.000,"	"1.000,"	"30.000,"	5
"411, "	"1, "	"411, "	"12315.000,"	"1.000,"	"30.000,"	5
"412, "	"1, "	"412, "	"12345.000,"	"1.000,"	"30.000,"	5
"413, "	"1, "	"413, "	"12375.000,"	"1.000,"	"30.000,"	5
"414, "	"1, "	"414, "	"12405.000,"	"1.000,"	"30.000,"	5
"415, "	"1, "	"415, "	"12435.000,"	"1.000,"	"30.000,"	5
"416, "	"1, "	"416, "	"12465.000,"	"1.000,"	"30.000,"	5
"417, "	"1, "	"417, "	"12495.000,"	"1.000,"	"30.000,"	5
"418, "	"1, "	"418, "	"12525.000,"	"1.000,"	"30.000,"	5
"419, "	"1, "	"419, "	"12555.000,"	"1.000,"	"30.000,"	5
"420, "	"1, "	"420, "	"12585.000,"	"1.000,"	"30.000,"	5
"421, "	"1, "	"421, "	"12615.000,"	"1.000,"	"30.000,"	5
"422, "	"1, "	"422, "	"12645.000,"	"1.000,"	"30.000,"	5
"423, "	"1, "	"423, "	"12675.000,"	"1.000,"	"30.000,"	5
"424, "	"1, "	"424, "	"12705.000,"	"1.000,"	"30.000,"	5
"425, "	"1, "	"425, "	"12735.000,"	"1.000,"	"30.000,"	5
"426, "	"1, "	"426, "	"12765.000,"	"1.000,"	"30.000,"	5
"427, "	"1, "	"427, "	"12795.000,"	"1.000,"	"30.000,"	5
"428, "	"1, "	"428, "	"12825.000,"	"1.000,"	"30.000,"	5
"429, "	"1, "	"429, "	"12855.000,"	"1.000,"	"30.000,"	5
"430, "	"1, "	"430, "	"12885.000,"	"1.000,"	"30.000,"	5
"431, "	"1, "	"431, "	"12915.000,"	"1.000,"	"30.000,"	5
"432, "	"1, "	"432, "	"12945.000,"	"1.000,"	"30.000,"	5
"433, "	"1, "	"433, "	"12975.000,"	"1.000,"	"30.000,"	5
"434, "	"1, "	"434, "	"13005.000,"	"1.000,"	"30.000,"	5
"435, "	"1, "	"435, "	"13035.000,"	"1.000,"	"30.000,"	5
"436, "	"1, "	"436, "	"13065.000,"	"1.000,"	"30.000,"	1
"437, "	"1, "	"437, "	"13095.000,"	"1.000,"	"30.000,"	1
"438, "	"1, "	"438, "	"13125.000,"	"1.000,"	"30.000,"	1
"439, "	"1, "	"439, "	"13155.000,"	"1.000,"	"30.000,"	1
"440, "	"1, "	"440, "	"13185.000,"	"1.000,"	"30.000,"	1
"441, "	"1, "	"441, "	"13215.000,"	"1.000,"	"30.000,"	1
"442, "	"1, "	"442, "	"13245.000,"	"1.000,"	"30.000,"	1
"443, "	"1, "	"443, "	"13275.000,"	"1.000,"	"30.000,"	1
"444, "	"1, "	"444, "	"13305.000,"	"1.000,"	"30.000,"	2
"445, "	"1, "	"445, "	"13335.000,"	"1.000,"	"30.000,"	2
"446, "	"1, "	"446, "	"13365.000,"	"1.000,"	"30.000,"	2
"447, "	"1, "	"447, "	"13395.000,"	"1.000,"	"30.000,"	2
"448, "	"1, "	"448, "	"13425.000,"	"1.000,"	"30.000,"	1
"449, "	"1, "	"449, "	"13455.000,"	"1.000,"	"30.000,"	1
"450, "	"1, "	"450, "	"13485.000,"	"1.000,"	"30.000,"	1
"451, "	"1, "	"451, "	"13515.000,"	"1.000,"	"30.000,"	2
"452, "	"1, "	"452, "	"13545.000,"	"1.000,"	"30.000,"	2
"453, "	"1, "	"453, "	"13575.000,"	"1.000,"	"30.000,"	2
"454, "	"1, "	"454, "	"13605.000,"	"1.000,"	"30.000,"	2
"455, "	"1, "	"455, "	"13635.000,"	"1.000,"	"30.000,"	2
"456, "	"1, "	"456, "	"13665.000,"	"1.000,"	"30.000,"	2
"457, "	"1, "	"457, "	"13695.000,"	"1.000,"	"30.000,"	2
"458, "	"1, "	"458, "	"13725.000,"	"1.000,"	"30.000,"	2
"459, "	"1, "	"459, "	"13755.000,"	"1.000,"	"30.000,"	2
"460, "	"1, "	"460, "	"13785.000,"	"1.000,"	"30.000,"	2
"461, "	"1, "	"461, "	"13815.000,"	"1.000,"	"30.000,"	2
"462, "	"1, "	"462, "	"13845.000,"	"1.000,"	"30.000,"	2
"463, "	"1, "	"463, "	"13875.000,"	"1.000,"	"30.000,"	2
"464, "	"1, "	"464, "	"13905.000,"	"1.000,"	"30.000,"	2
"465, "	"1, "	"465, "	"13935.000,"	"1.000,"	"30.000,"	2
"466, "	"1, "	"466, "	"13965.000,"	"1.000,"	"30.000,"	2
"467, "	"1, "	"467, "	"13995.000,"	"1.000,"	"30.000,"	2
"468, "	"1, "	"468, "	"14025.000,"	"1.000,"	"30.000,"	2
"469, "	"1, "	"469, "	"14055.000,"	"1.000,"	"30.000,"	2
"470, "	"1, "	"470, "	"14085.000,"	"1.000,"	"30.000,"	2
"471, "	"1, "	"471, "	"14115.000,"	"1.000,"	"30.000,"	3
"472, "	"1, "	"472, "	"14145.000,"	"1.000,"	"30.000,"	3
"473, "	"1, "	"473, "	"14175.000,"	"1.000,"	"30.000,"	3
"474, "	"1, "	"474, "	"14205.000,"	"1.000,"	"30.000,"	3
"475, "	"1, "	"475, "	"14235.000,"	"1.000,"	"30.000,"	3
"476, "	"1, "	"476, "	"14265.000,"	"1.000,"	"30.000,"	3
"477, "	"1, "	"477, "	"14295.000,"	"1.000,"	"30.000,"	3
"478, "	"1, "	"478, "	"14325.000,"	"1.000,"	"30.000,"	3
"479, "	"1, "	"479, "	"14355.000,"	"1.000,"	"30.000,"	3
"480, "	"1, "	"480, "	"14385.000,"	"1.000,"	"30.000,"	3
"481, "	"1, "	"481, "	"14415.000,"	"1.000,"	"30.000,"	3
"482, "	"1, "	"482, "	"14445.000,"	"1.000,"	"30.000,"	3
"483, "	"1, "	"483, "	"14475.000,"	"1.000,"	"30.000,"	3
"484, "	"1, "	"484, "	"14505.000,"	"1.000,"	"30.000,"	3
"485, "	"1, "	"485, "	"14535.000,"	"1.000,"	"30.000,"	3
"486, "	"1, "	"486, "	"14565.000,"	"1.000,"	"30.000,"	3
"487, "	"1, "	"487, "	"14595.000,"	"1.000,"	"30.000,"	3
"488, "	"1, "	"488, "	"14625.000,"	"1.000,"	"30.000,"	3
"489, "	"1, "	"489, "	"14655.000,"	"1.000,"	"30.000,"	3
"490, "	"1, "	"490, "	"14685.000,"	"1.000,"	"30.000,"	3
"491, "	"1, "	"491, "	"14715.000,"	"1.000,"	"30.000,"	3
"492, "	"1, "	"492, "	"14745.000,"	"1.000,"	"30.000,"	3
"493, "	"1, "	"493, "	"14775.000,"	"1.000,"	"30.000,"	3
"494, "	"1, "	"494, "	"14805.000,"	"1.000,"	"30.000,"	3
"495, "	"1, "	"495, "	"14835.000,"	"1.000,"	"30.000,"	3
"496, "	"1, "	"496, "	"14865.000,"	"1.000,"	"30.000,"	3
"497, "	"1, "	"497, "	"14895.000,"	"1.000,"	"30.000,"	3
"498, "	"1, "	"498, "	"14925.000,"	"1.000,"	"30.000,"	3
"499, "	"1, "	"499, "	"14955.000,"	"1.000,"	"30.000,"	3
"500, "	"1, "	"500, "	"14985.000,"	"1.000,"	"30.000,"	3
"501, "	"1, "	"501, "	"15015.000,"	"1.000,"	"30.000,"	3
"502, "	"1, "	"502, "	"15045.000,"	"1.000,"	"30.000,"	3
"503, "	"1, "	"503, "	"15075.000,"	"1.000,"	"30.000,"	3
"504, "	"1, "	"504, "	"15105.000,"	"1.000,"	"30.000,"	3
"505, "	"1, "	"505, "	"15135.000,"	"1.000,"	"30.000,"	3
"506, "	"1, "	"506, "	"15165.000,"	"1.000,"	"30.000,"	3
"507, "	"1, "	"507, "	"15195.000,"	"1.000,"	"30.000,"	3
"508, "	"1, "	"508, "	"15225.000,"	"1.000,"	"30.000,"	3
"509, "	"1, "	"509, "	"15255.000,"	"1.000,"	"30.000,"	3
"510, "	"1, "	"510, "	"15285.000,"	"1.000,"	"30.000,"	3
"511, "	"1, "	"511, "	"15315.000,"	"1.000,"	"30.000,"	3
"512, "	"1, "	"512, "	"15345.000,"	"1.000,"	"30.000,"	3
"513, "	"1, "	"513, "	"15375.000,"	"1.000,"	"30.000,"	3
"514, "	"1, "	"514, "	"15405.000,"	"1.000,"	"30.000,"	3
"515, "	"1, "	"515, "	"15435.000,"	"1.000,"	"30.000,"	3
"516, "	"1, "	"516, "	"15465.000,"	"1.000,"	"30.000,"	3
"517, "	"1, "	"517, "	"15495.000,"	"1.000,"	"30.000,"	3
"518, "	"1, "	"518, "	"15525.000,"	"1.000,"	"30.000,"	3
"519, "	"1, "	"519, "	"15555.000,"	"1.000,"	"30.000,"	3
"520, "	"1, "	"520, "	"15585.000,"	"1.000,"	"30.000,"	3
"521, "	"1, "	"521, "	"15615.000,"	"1.000,"	"30.000,"	3
"522, "	"1, "	"522, "	"15645.000,"	"1.000,"	"30.000,"	3
"523, "	"1, "	"523, "	"15675.000,"	"1.000,"	"30.000,"	3
"524, "	"1, "	"524, "	"15705.000,"	"1.000,"	"30.000,"	3
"525, "	"1, "	"525, "	"15735.000,"	"1.000,"	"30.000,"	3
"526, "	"1, "	"526, "	"15765.000,"	"1.000,"	"30.000,"	3
"527, "	"1, "	"527, "	"15795.000,"	"1.000,"	"30.000,"	3
"528, "	"1, "	"528, "	"15825.000,"	"1.000,"	"30.000,"	3
"529, "	"1, "	"529, "	"15855.000,"	"1.000,"	"30.000,"	3
"530, "	"1, "	"530, "	"15885.000,"	"1.000,"	"30.000,"	3
"531, "	"1, "	"531, "	"15915.000,"	"1.000,"	"30.000,"	3
"532, "	"1, "	"532, "	"15945.000,"	"1.000,"	"30.000,"	3
"533, "	"1, "	"533, "	"15975.000,"	"1.000,"	"30.000,"	3
"534, "	"1, "	"534, "	"16005.000,"	"1.000,"	"30.000,"	3
"535, "	"1, "	"535, "	"16035.000,"	"1.000,"	"30.000,"	3
"536, "	"1, "	"536, "	"16065.000,"	"1.000,"	"30.000,"	3
"537, "	"1, "	"537, "	"16095.000,"	"1.000,"	"30.000,"	3
"538, "	"1, "	"538, "	"16125.000,"	"1.000,"	"30.000,"	2
"539, "	"1, "	"539, "	"16155.000,"	"1.000,"	"30.000,"	2
"540, "	"1, "	"540, "	"16185.000,"	"1.000,"	"30.000,"	2
"541, "	"1, "	"541, "	"16215.000,"	"1.000,"	"30.000,"	2
"542, "	"1, "	"542, "	"16245.000,"	"1.000,"	"30.000,"	2
"543, "	"1, "	"543, "	"16275.000,"	"1.000,"	"30.000,"	2
"544, "	"1, "	"544, "	"16305.000,"	"1.000,"	"30.000,"	2
"545, "	"1, "	"545, "	"16335.000,"	"1.000,"	"30.000,"	1
"546, "	"1, "	"546, "	"16365.000,"	"1.000,"	"30.000,"	2
"547, "	"1, "	"547, "	"16395.000,"	"1.000,"	"30.000,"	2
"548, "	"1, "	"548, "	"16425.000,"	"1.000,"	"30.000,"	2
"549, "	"1, "	"549, "	"16455.000,"	"1.000,"	"30.000,"	2
"550, "	"1, "	"550, "	"16485.000,"	"1.000,"	"30.000,"	2
"551, "	"1, "	"551, "	"16515.000,"	"1.000,"	"30.000,"	2
"552, "	"1, "	"552, "	"16545.000,"	"1.000,"	"30.000,"	2
"553, "	"1, "	"553, "	"16575.000,"	"1.000,"	"30.000,"	2
"554, "	"1, "	"554, "	"16605.000,"	"1.000,"	"30.000,"	2
"555, "	"1, "	"555, "	"16635.000,"	"1.000,"	"30.000,"	2
"556, "	"1, "	"556, "	"16665.000,"	"1.000,"	"30.000,"	2
"557, "	"1, "	"557, "	"16695.000,"	"1.000,"	"30.000,"	2
"558, "	"1, "	"558, "	"16725.000,"	"1.000,"	"30.000,"	5
"559, "	"1, "	"559, "	"16755.000,"	"1.000,"	"30.000,"	5
"560, "	"1, "	"560, "	"16785.000,"	"1.000,"	"30.000,"	5
"561, "	"1, "	"561, "	"16815.000,"	"1.000,"	"30.000,"	5
"562, "	"1, "	"562, "	"16845.000,"	"1.000,"	"30.000,"	5
"563, "	"1, "	"563, "	"16875.000,"	"1.000,"	"30.000,"	5
"564, "	"1, "	"564, "	"16905.000,"	"1.000,"	"30.000,"	5
"565, "	"1, "	"565, "	"16935.000,"	"1.000,"	"30.000,"	5
"566, "	"1, "	"566, "	"16965.000,"	"1.000,"	"30.000,"	5
"567, "	"1, "	"567, "	"16995.000,"	"1.000,"	"30.000,"	5
"568, "	"1, "	"568, "	"17025.000,"	"1.000,"	"30.000,"	5
"569, "	"1, "	"569, "	"17055.000,"	"1.000,"	"30.000,"	5
"570, "	"1, "	"570, "	"17085.000,"	"1.000,"	"30.000,"	5
"571, "	"1, "	"571, "	"17115.000,"	"1.000,"	"30.000,"	5
"572, "	"1, "	"572, "	"17145.000,"	"1.000,"	"30.000,"	5
"573, "	"1, "	"573, "	"17175.000,"	"1.000,"	"30.000,"	5
"574, "	"1, "	"574, "	"17205.000,"	"1.000,"	"30.000,"	5
"575, "	"1, "	"575, "	"17235.000,"	"1.000,"	"30.000,"	5
"576, "	"1, "	"576, "	"17265.000,"	"1.000,"	"30.000,"	1
"577, "	"1, "	"577, "	"17295.000,"	"1.000,"	"30.000,"	1
"578, "	"1, "	"578, "	"17325.000,"	"1.000,"	"30.000,"	1
"579, "	"1, "	"579, "	"17355.000,"	"1.000,"	"30.000,"	1
"580, "	"1, "	"580, "	"17385.000,"	"1.000,"	"30.000,"	2
"581, "	"1, "	"581, "	"17415.000,"	"1.000,"	"30.000,"	2
"582, "	"1, "	"582, "	"17445.000,"	"1.000,"	"30.000,"	2
"583, "	"1, "	"583, "	"17475.000,"	"1.000,"	"30.000,"	2
"584, "	"1, "	"584, "	"17505.000,"	"1.000,"	"30.000,"	2
"585, "	"1, "	"585, "	"17535.000,"	"1.000,"	"30.000,"	2
"586, "	"1, "	"586, "	"17565.000,"	"1.000,"	"30.000,"	2
"587, "	"1, "	"587, "	"17595.000,"	"1.000,"	"30.000,"	2
"588, "	"1, "	"588, "	"17625.000,"	"1.000,"	"30.000,"	2
"589, "	"1, "	"589, "	"17655.000,"	"1.000,"	"30.000,"	2
"590, "	"1, "	"590, "	"17685.000,"	"1.000,"	"30.000,"	2
"591, "	"1, "	"591, "	"17715.000,"	"1.000,"	"30.000,"	2
"592, "	"1, "	"592, "	"17745.000,"	"1.000,"	"30.000,"	2
"593, "	"1, "	"593, "	"17775.000,"	"1.000,"	"30.000,"	2
"594, "	"1, "	"594, "	"17805.000,"	"1.000,"	"30.000,"	2
"595, "	"1, "	"595, "	"17835.000,"	"1.000,"	"30.000,"	2
"596, "	"1, "	"596, "	"17865.000,"	"1.000,"	"30.000,"	2
"597, "	"1, "	"597, "	"17895.000,"	"1.000,"	"30.000,"	2
"598, "	"1, "	"598, "	"17925.000,"	"1.000,"	"30.000,"	2
"599, "	"1, "	"599, "	"17955.000,"	"1.000,"	"30.000,"	2
"600, "	"1, "	"600, "	"17985.000,"	"1.000,"	"30.000,"	2
"601, "	"1, "	"601, "	"18015.000,"	"1.000,"	"30.000,"	1
"602, "	"1, "	"602, "	"18045.000,"	"1.000,"	"30.000,"	2
"603, "	"1, "	"603, "	"18075.000,"	"1.000,"	"30.000,"	2
"604, "	"1, "	"604, "	"18105.000,"	"1.000,"	"30.000,"	1
"605, "	"1, "	"605, "	"18135.000,"	"1.000,"	"30.000,"	1
"606, "	"1, "	"606, "	"18165.000,"	"1.000,"	"30.000,"	1
"607, "	"1, "	"607, "	"18195.000,"	"1.000,"	"30.000,"	1
"608, "	"1, "	"608, "	"18225.000,"	"1.000,"	"30.000,"	2
"609, "	"1, "	"609, "	"18255.000,"	"1.000,"	"30.000,"	2
"610, "	"1, "	"610, "	"18285.000,"	"1.000,"	"30.000,"	2
"611, "	"1, "	"611, "	"18315.000,"	"1.000,"	"30.000,"	2
"612, "	"1, "	"612, "	"18345.000,"	"1.000,"	"30.000,"	2
"613, "	"1, "	"613, "	"18375.000,"	"1.000,"	"30.000,"	2
"614, "	"1, "	"614, "	"18405.000,"	"1.000,"	"30.000,"	2
"615, "	"1, "	"615, "	"18435.000,"	"1.000,"	"30.000,"	2
"616, "	"1, "	"616, "	"18465.000,"	"1.000,"	"30.000,"	2
"617, "	"1, "	"617, "	"18495.000,"	"1.000,"	"30.000,"	2
"618, "	"1, "	"618, "	"18525.000,"	"1.000,"	"30.000,"	2
"619, "	"1, "	"619, "	"18555.000,"	"1.000,"	"30.000,"	2
"620, "	"1, "	"620, "	"18585.000,"	"1.000,"	"30.000,"	2
"621, "	"1, "	"621, "	"18615.000,"	"1.000,"	"30.000,"	3
"622, "	"1, "	"622, "	"18645.000,"	"1.000,"	"30.000,"	3
"623, "	"1, "	"623, "	"18675.000,"	"1.000,"	"30.000,"	3
"624, "	"1, "	"624, "	"18705.000,"	"1.000,"	"30.000,"	3
"625, "	"1, "	"625, "	"18735.000,"	"1.000,"	"30.000,"	3
"626, "	"1, "	"626, "	"18765.000,"	"1.000,"	"30.000,"	3
"627, "	"1, "	"627, "	"18795.000,"	"1.000,"	"30.000,"	3
"628, "	"1, "	"628, "	"18825.000,"	"1.000,"	"30.000,"	3
"629, "	"1, "	"629, "	"18855.000,"	"1.000,"	"30.000,"	3
"630, "	"1, "	"630, "	"18885.000,"	"1.000,"	"30.000,"	3
"631, "	"1, "	"631, "	"18915.000,"	"1.000,"	"30.000,"	3
"632, "	"1, "	"632, "	"18945.000,"	"1.000,"	"30.000,"	3
"633, "	"1, "	"633, "	"18975.000,"	"1.000,"	"30.000,"	3
"634, "	"1, "	"634, "	"19005.000,"	"1.000,"	"30.000,"	3
"635, "	"1, "	"635, "	"19035.000,"	"1.000,"	"30.000,"	3
"636, "	"1, "	"636, "	"19065.000,"	"1.000,"	"30.000,"	3
"637, "	"1, "	"637, "	"19095.000,"	"1.000,"	"30.000,"	3
"638, "	"1, "	"638, "	"19125.000,"	"1.000,"	"30.000,"	3
"639, "	"1, "	"639, "	"19155.000,"	"1.000,"	"30.000,"	3
"640, "	"1, "	"640, "	"19185.000,"	"1.000,"	"30.000,"	3
"641, "	"1, "	"641, "	"19215.000,"	"1.000,"	"30.000,"	3
"642, "	"1, "	"642, "	"19245.000,"	"1.000,"	"30.000,"	3
"643, "	"1, "	"643, "	"19275.000,"	"1.000,"	"30.000,"	3
"644, "	"1, "	"644, "	"19305.000,"	"1.000,"	"30.000,"	3
"645, "	"1, "	"645, "	"19335.000,"	"1.000,"	"30.000,"	3
"646, "	"1, "	"646, "	"19365.000,"	"1.000,"	"30.000,"	3
"647, "	"1, "	"647, "	"19395.000,"	"1.000,"	"30.000,"	3
"648, "	"1, "	"648, "	"19425.000,"	"1.000,"	"30.000,"	3
"649, "	"1, "	"649, "	"19455.000,"	"1.000,"	"30.000,"	3
"650, "	"1, "	"650, "	"19485.000,"	"1.000,"	"30.000,"	3
"651, "	"1, "	"651, "	"19515.000,"	"1.000,"	"30.000,"	3
"652, "	"1, "	"652, "	"19545.000,"	"1.000,"	"30.000,"	3
"653, "	"1, "	"653, "	"19575.000,"	"1.000,"	"30.000,"	3
"654, "	"1, "	"654, "	"19605.000,"	"1.000,"	"30.000,"	3
"655, "	"1, "	"655, "	"19635.000,"	"1.000,"	"30.000,"	3
"656, "	"1, "	"656, "	"19665.000,"	"1.000,"	"30.000,"	3
"657, "	"1, "	"657, "	"19695.000,"	"1.000,"	"30.000,"	3
"658, "	"1, "	"658, "	"19725.000,"	"1.000,"	"30.000,"	3
"659, "	"1, "	"659, "	"19755.000,"	"1.000,"	"30.000,"	3
"660, "	"1, "	"660, "	"19785.000,"	"1.000,"	"30.000,"	3
"661, "	"1, "	"661, "	"19815.000,"	"1.000,"	"30.000,"	3
"662, "	"1, "	"662, "	"19845.000,"	"1.000,"	"30.000,"	3
"663, "	"1, "	"663, "	"19875.000,"	"1.000,"	"30.000,"	3
"664, "	"1, "	"664, "	"19905.000,"	"1.000,"	"30.000,"	3
"665, "	"1, "	"665, "	"19935.000,"	"1.000,"	"30.000,"	3
"666, "	"1, "	"666, "	"19965.000,"	"1.000,"	"30.000,"	3
"667, "	"1, "	"667, "	"19995.000,"	"1.000,"	"30.000,"	3
"668, "	"1, "	"668, "	"20025.000,"	"1.000,"	"30.000,"	3
"669, "	"1, "	"669, "	"20055.000,"	"1.000,"	"30.000,"	3
"670, "	"1, "	"670, "	"20085.000,"	"1.000,"	"30.000,"	3
"671, "	"1, "	"671, "	"20115.000,"	"1.000,"	"30.000,"	3
"672, "	"1, "	"672, "	"20145.000,"	"1.000,"	"30.000,"	3
"673, "	"1, "	"673, "	"20175.000,"	"1.000,"	"30.000,"	3
"674, "	"1, "	"674, "	"20205.000,"	"1.000,"	"30.000,"	3
"675, "	"1, "	"675, "	"20235.000,"	"1.000,"	"30.000,"	3
"676, "	"1, "	"676, "	"20265.000,"	"1.000,"	"30.000,"	3
"677, "	"1, "	"677, "	"20295.000,"	"1.000,"	"30.000,"	3
"678, "	"1, "	"678, "	"20325.000,"	"1.000,"	"30.000,"	3
"679, "	"1, "	"679, "	"20355.000,"	"1.000,"	"30.000,"	3
"680, "	"1, "	"680, "	"20385.000,"	"1.000,"	"30.000,"	3
"681, "	"1, "	"681, "	"20415.000,"	"1.000,"	"30.000,"	3
"682, "	"1, "	"682, "	"20445.000,"	"1.000,"	"30.000,"	3
"683, "	"1, "	"683, "	"20475.000,"	"1.000,"	"30.000,"	3
"684, "	"1, "	"684, "	"20505.000,"	"1.000,"	"30.000,"	3
"685, "	"1, "	"685, "	"20535.000,"	"1.000,"	"30.000,"	2
"686, "	"1, "	"686, "	"20565.000,"	"1.000,"	"30.000,"	2
"687, "	"1, "	"687, "	"20595.000,"	"1.000,"	"30.000,"	5
"688, "	"1, "	"688, "	"20625.000,"	"1.000,"	"30.000,"	5
"689, "	"1, "	"689, "	"20655.000,"	"1.000,"	"30.000,"	5
"690, "	"1, "	"690, "	"20685.000,"	"1.000,"	"30.000,"	5
"691, "	"1, "	"691, "	"20715.000,"	"1.000,"	"30.000,"	5
"692, "	"1, "	"692, "	"20745.000,"	"1.000,"	"30.000,"	5
"693, "	"1, "	"693, "	"20775.000,"	"1.000,"	"30.000,"	5
"694, "	"1, "	"694, "	"20805.000,"	"1.000,"	"30.000,"	5
"695, "	"1, "	"695, "	"20835.000,"	"1.000,"	"30.000,"	5
"696, "	"1, "	"696, "	"20865.000,"	"1.000,"	"30.000,"	5
"697, "	"1, "	"697, "	"20895.000,"	"1.000,"	"30.000,"	5
"698, "	"1, "	"698, "	"20925.000,"	"1.000,"	"30.000,"	5
"699, "	"1, "	"699, "	"20955.000,"	"1.000,"	"30.000,"	5
"700, "	"1, "	"700, "	"20985.000,"	"1.000,"	"30.000,"	5
"701, "	"1, "	"701, "	"21015.000,"	"1.000,"	"30.000,"	5
"702, "	"1, "	"702, "	"21045.000,"	"1.000,"	"30.000,"	5
"703, "	"1, "	"703, "	"21075.000,"	"1.000,"	"30.000,"	5
"704, "	"1, "	"704, "	"21105.000,"	"1.000,"	"30.000,"	5
"705, "	"1, "	"705, "	"21135.000,"	"1.000,"	"30.000,"	5
