Adult Stages/Adult Hypnogram (973 events)						
						
-------------------------------------------------------------------------------------						
#	Segment	Epoch	Start Time (s)	Duration (s)	Interval (s)	Event
"81, "	"1, "	"81, "	"2415.000,"	"1.000,"	"30.000,"	2
"82, "	"1, "	"82, "	"2445.000,"	"1.000,"	"30.000,"	2
"83, "	"1, "	"83, "	"2475.000,"	"1.000,"	"30.000,"	2
"84, "	"1, "	"84, "	"2505.000,"	"1.000,"	"30.000,"	2
"85, "	"1, "	"85, "	"2535.000,"	"1.000,"	"30.000,"	2
"86, "	"1, "	"86, "	"2565.000,"	"1.000,"	"30.000,"	1
"87, "	"1, "	"87, "	"2595.000,"	"1.000,"	"30.000,"	2
"88, "	"1, "	"88, "	"2625.000,"	"1.000,"	"30.000,"	2
"89, "	"1, "	"89, "	"2655.000,"	"1.000,"	"30.000,"	2
"90, "	"1, "	"90, "	"2685.000,"	"1.000,"	"30.000,"	2
"91, "	"1, "	"91, "	"2715.000,"	"1.000,"	"30.000,"	2
"92, "	"1, "	"92, "	"2745.000,"	"1.000,"	"30.000,"	2
"93, "	"1, "	"93, "	"2775.000,"	"1.000,"	"30.000,"	2
"94, "	"1, "	"94, "	"2805.000,"	"1.000,"	"30.000,"	2
"95, "	"1, "	"95, "	"2835.000,"	"1.000,"	"30.000,"	2
"96, "	"1, "	"96, "	"2865.000,"	"1.000,"	"30.000,"	2
"97, "	"1, "	"97, "	"2895.000,"	"1.000,"	"30.000,"	2
"98, "	"1, "	"98, "	"2925.000,"	"1.000,"	"30.000,"	0
"99, "	"1, "	"99, "	"2955.000,"	"1.000,"	"30.000,"	0
"100, "	"1, "	"100, "	"2985.000,"	"1.000,"	"30.000,"	0
"101, "	"1, "	"101, "	"3015.000,"	"1.000,"	"30.000,"	1
"102, "	"1, "	"102, "	"3045.000,"	"1.000,"	"30.000,"	1
"103, "	"1, "	"103, "	"3075.000,"	"1.000,"	"30.000,"	1
"104, "	"1, "	"104, "	"3105.000,"	"1.000,"	"30.000,"	1
"105, "	"1, "	"105, "	"3135.000,"	"1.000,"	"30.000,"	1
"106, "	"1, "	"106, "	"3165.000,"	"1.000,"	"30.000,"	2
"107, "	"1, "	"107, "	"3195.000,"	"1.000,"	"30.000,"	2
"108, "	"1, "	"108, "	"3225.000,"	"1.000,"	"30.000,"	2
"109, "	"1, "	"109, "	"3255.000,"	"1.000,"	"30.000,"	2
"110, "	"1, "	"110, "	"3285.000,"	"1.000,"	"30.000,"	2
"111, "	"1, "	"111, "	"3315.000,"	"1.000,"	"30.000,"	2
"112, "	"1, "	"112, "	"3345.000,"	"1.000,"	"30.000,"	2
"113, "	"1, "	"113, "	"3375.000,"	"1.000,"	"30.000,"	2
"114, "	"1, "	"114, "	"3405.000,"	"1.000,"	"30.000,"	3
"115, "	"1, "	"115, "	"3435.000,"	"1.000,"	"30.000,"	3
"116, "	"1, "	"116, "	"3465.000,"	"1.000,"	"30.000,"	3
"117, "	"1, "	"117, "	"3495.000,"	"1.000,"	"30.000,"	3
"118, "	"1, "	"118, "	"3525.000,"	"1.000,"	"30.000,"	3
